Strain;Replicate;Viability
NTC;1;8171590
NTC;2;8154512
NTC;3;8400350
ALI_10x10^8;1;8426532
ALI_10x10^8;2;7809241
ALI_10x10^8;3;8246663
ALI_1x10^8;1;8183572
ALI_1x10^8;2;8968178
ALI_1x10^8;3;8727200
STM_10x10^8;1;6707140
STM_10x10^8;2;6807522
STM_10x10^8;3;7152048
STM_1x10^8;1;6738987
STM_1x10^8;2;7044694
STM_1x10^8;3;6610991
INT_10x10^8;1;7306490
INT_10x10^8;2;7264118
INT_10x10^8;3;7244410
INT_1x10^8;1;7377590
INT_1x10^8;2;7661183
INT_1x10^8;3;7540713
G2_10x10^8;1;5886634
G2_10x10^8;2;6200388
G2_10x10^8;3;6096569
G2_1x10^8;1;7341239
G2_1x10^8;2;7130929
G2_1x10^8;3;7162217
ETEC_10x10^8;1;3754176
ETEC_10x10^8;2;3599027
ETEC_10x10^8;3;4053704
ETEC_1x10^8;1;4243781
ETEC_1x10^8;2;4118582
ETEC_1x10^8;3;3729043
BF_10x10^8;1;8009468
BF_10x10^8;2;8159579
BF_10x10^8;3;8258332
BF_1x10^8;1;8043118
BF_1x10^8;2;8314252
BF_1x10^8;3;7353048
