cytokine;ALI_1_THP1;ALI_10_THP1;INT_1_THP1;INT_10_THP1;G2_1_THP1;G2_10_THP1;STM_1_THP1;STM_10_THP1;ETEC_1_THP1;ETEC_10_THP1;BF_1_THP1;BF_10_THP1;ALI_1_HT29;ALI_10_HT29;INT_1_HT29;INT_10_HT29;GRAZ2_1_HT29;GRAZ2_10_HT29;STM_1_HT29;STM_10_HT29;ETEC_1_HT29;ETEC_10_HT29;BF_1_HT29;BF_10_HT29
23_CCL2 ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;1.5;NA;NA
22_CCL7 ;1.5;1.5;1.6;1.6;3.0;3.0;2.7;2.7;3.1;3.1;-2.6;-2.6;NA;NA;NA;NA;NA;NA;NA;NA;2.4;2.4;NA;NA
21_CCL20 ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;1.4;1.9;2.4;1.4;1.4;1.3;1.7;NA;NA;0.9;1.3
02_CCL28 ;1.2;1.2;0.6;0.6;0.9;0.9;0.9;0.9;0;0;0;0;NA;1.5;NA;NA;NA;NA;NA;NA;NA;1.9;NA;NA
20_CXCL1/GRO alpha ;2.4;2.4;3.1;3.1;3.3;3.3;3.0;3.0;3.2;3.2;2.9;2.9;1.6;1.3;2.2;2.7;0.6;0.7;1.1;2.1;3.9;4.0;0.1;1.6
18_CXCL5 ;1.1;1.1;1.5;1.5;1.5;1.5;1.2;1.2;1.7;1.7;1.1;1.1;NA;NA;NA;1.5;NA;NA;NA;1.2;2.3;2.3;NA;NA
17_CXCL10 ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4;1.4;1.4;1.6;1.2;1.3;1.1;1.2;2.6;2.5;1.1;1.5
16_GM-CSF ;-0.3;-0.3;-0.7;-0.7;0.4;0.4;-0.4;-0.4;0.8;0.8;-0.8;-0.8;NA;-0.3;-2.3;-2.5;-0.4;-0.1;NA;0.4;1.4;1.4;NA;NA
07_IL-6 ;1.0;1.0;1.6;1.6;2.2;2.2;1.1;1.1;2.6;2.6;0.8;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.9;NA;NA
15_IL-17E ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14_TNF-alpha ;0;0;2.7;2.7;3.1;3.1;2.9;2.9;3.3;3.3;2.4;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13_RANTES ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;1.4;1.3;1.5;1.5;1.5;1.2;1.3;1.8;1.9;1.3;1.7
11_CCL11 ;-1.1;-1.1;-0.8;-0.8;-0.8;-0.8;0;0;-0.8;-0.8;0.8;0.8;NA;1.5;NA;NA;NA;1.5;NA;1.5;NA;1.7;NA;NA
03_CCL22 ;-0.6;NA;1.5;1.5;1.9;1.9;1.5;1.5;2.5;2.5;-1.7;-1.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;NA;NA
06_CX3CL1 ;1.5;1.5;-2.0;-2.0;2.4;2.4;-1.8;-1.8;1.2;1.2;-1.2;-1.2;2.5;2.5;2.4;2.6;2.5;2.5;2.4;2.4;3.3;3.3;2.5;2.4
19_CXCL2/GRO beta ;2.1;2.1;2.6;2.6;3.0;3.0;2.8;2.8;3.0;3.0;2.5;2.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8;NA;NA
12_CXCL9 ;-2.8;-2.8;-2.9;-2.9;3.7;3.7;3.3;3.3;3.9;3.9;-2.9;-2.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.7;NA;NA
11_CXCL11 ;2.2;2.2;-3.0;-3.0;2.2;2.2;-2.3;-2.3;2.9;2.9;-2.9;-3.1;1.1;0.7;1.2;1.4;0.9;1.3;0.9;0.9;2.2;2.3;NA;0.9
10_IFN-gamma ;-0.7;-0.7;0;0;0;0;0.0;0.0;-0.7;-0.7;-0.7;-0.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3;NA;NA
09_IL-8 ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5;0.0;1.5;2.3;-1.3;-1.4;-1.3;0.9;NA;NA;-1.3;0.7
08_IL-18 ;-2;-2.0;-2;-1.45;0.0;1.9;1.8;1.2;-1.7;2.0;-2.0;-1.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.6;NA;NA
05_TSLP ;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
01_TGF-beta ;-2;-2;2.5;-2.1;2.2;-2.3;-2.6;-2.3;1.9;-2.4;2.3;0.4;-2;-1.9;-1.7;-2;-2;-1.8;2.4;-2.0;-1.8;-2.0;-1.8;-1.9
